IA,3,6,0,0,0,0
GA,3,6,0,0,2,0
FL,3,6,0,0,9,0
DE,3,6,0,0,0,0
CO,3,6,0,0,2,0
CA,3,6,7,0,60,0
AZ,3,6,1,0,3,0
AR,3,6,0,0,0,0
AK,3,6,0,0,0,0
WY,3,7,0,0,0,0
WV,3,7,0,0,0,0
WI,3,7,0,0,1,0
WA,3,7,38,1,256,27
VT,3,7,1,0,1,0
VA,3,7,0,0,0,0
UT,3,7,0,0,1,0
TX,3,7,3,0,8,0
TN,3,7,0,0,1,0
SD,3,7,0,0,0,0
SC,3,7,2,0,2,0
RI,3,7,0,0,3,0
PA,3,7,2,0,4,0
OR,3,7,4,0,7,0
OK,3,7,0,0,1,0
OH,3,7,0,0,0,0
NY,3,7,43,0,76,0
NV,3,7,1,0,4,0
NM,3,7,0,0,0,0
NJ,3,7,3,0,4,0
NH,3,7,0,0,2,0
NE,3,7,1,0,1,0
ND,3,7,0,0,0,0
NC,3,7,0,0,2,0
MT,3,7,0,0,0,0
MS,3,7,0,0,0,0
MO,3,7,0,0,0,0
MN,3,7,1,0,2,0
MI,3,7,48,0,188,0
ME,3,7,0,0,0,0
MD,3,7,0,0,3,0
MA,3,7,0,0,0,0
LA,3,7,0,0,0,0
KY,3,7,1,0,1,0
KS,3,7,0,0,0,0
IN,3,7,0,0,1,0
IL,3,7,1,0,6,0
ID,3,7,0,0,0,0
IA,3,7,0,0,0,0
HI,3,7,0,0,1,0
GA,3,7,4,0,6,0
FL,3,7,5,0,14,0
DE,3,7,0,0,0,0
CT,3,7,0,0,0,0
CO,3,7,6,0,8,0
CA,3,7,9,0,69,0
AZ,3,7,2,0,5,0
AR,3,7,0,0,0,0
AL,3,7,0,0,0,0
AK,3,7,0,0,0,0
WY,3,8,0,0,0,0
WV,3,8,0,0,0,0
WI,3,8,0,0,1,0
WA,3,8,61,4,317,31
VT,3,8,0,0,1,0
VA,3,8,2,0,2,0
UT,3,8,0,0,1,0
TX,3,8,0,0,8,0
TN,3,8,2,0,3,0
SD,3,8,0,0,0,0
SC,3,8,0,0,2,0
RI,3,8,0,0,3,0
PA,3,8,2,0,6,0
OR,3,8,7,0,14,0
OK,3,8,0,0,1,0
OH,3,8,0,0,0,0
NY,3,8,29,0,105,0
NV,3,8,0,0,4,0
NM,3,8,0,0,0,0
NJ,3,8,2,0,6,0
NH,3,8,2,0,4,0
NE,3,8,0,0,1,0
ND,3,8,0,0,0,0
NC,3,8,0,0,2,0
MT,3,8,0,0,0,0
MS,3,8,0,0,0,0
MO,3,8,1,0,1,0
MN,3,8,0,0,2,0
MI,3,8,63,0,251,0
ME,3,8,0,0,0,0
MD,3,8,0,0,3,0
MA,3,8,0,0,0,0
LA,3,8,0,0,0,0
KY,3,8,0,0,1,0
KS,3,8,1,0,1,0
IN,3,8,1,0,2,0
IL,3,8,0,0,6,0
ID,3,8,0,0,0,0
IA,3,8,0,0,0,0
HI,3,8,0,0,1,0
GA,3,8,1,0,7,0
FL,3,8,3,0,17,0
DE,3,8,0,0,0,0
CT,3,8,1,0,1,0
CO,3,8,0,0,8,0
CA,3,8,19,0,88,0
AZ,3,8,0,0,5,0
AR,3,8,0,0,0,0
AL,3,8,0,0,0,0
AK,3,8,0,0,0,0
WY,3,9,0,0,0,0
WV,3,9,0,0,0,0
WI,3,9,0,0,1,0
WA,3,9,61,4,378,35
VT,3,9,0,0,1,0
VA,3,9,1,0,3,0
UT,3,9,0,0,1,0
TX,3,9,4,0,12,0
TN,3,9,0,0,3,0
SD,3,9,0,0,0,0
SC,3,9,5,0,7,0
RI,3,9,1,0,4,0
PA,3,9,4,0,10,0
OR,3,9,0,0,14,0
OK,3,9,0,0,1,0
OH,3,9,3,0,3,0
NY,3,9,37,0,142,0
NV,3,9,1,0,5,0
NM,3,9,0,0,0,0
NJ,3,9,5,0,11,0
NH,3,9,0,0,4,0
NE,3,9,2,0,3,0
ND,3,9,0,0,0,0
NC,3,9,0,0,2,0
MT,3,9,0,0,0,0
MS,3,9,0,0,0,0
MO,3,9,0,0,1,0
MN,3,9,3,0,5,0
MI,3,9,121,0,372,0
ME,3,9,0,0,0,0
MD,3,9,2,0,5,0
MA,3,9,0,0,0,0
LA,3,9,1,0,1,0
KY,3,9,3,0,4,0
KS,3,9,0,0,1,0
IN,3,9,0,0,2,0
IL,3,9,1,0,7,0
ID,3,9,0,0,0,0
IA,3,9,3,0,3,0
HI,3,9,1,0,2,0
GA,3,9,5,0,12,0
FL,3,9,1,0,18,0
DE,3,9,0,0,0,0
CT,3,9,0,0,1,0
CO,3,9,1,0,9,0
CA,3,9,26,0,114,0
AZ,3,9,0,0,5,0
AR,3,9,0,0,0,0
AL,3,9,0,0,0,0
AK,3,9,0,0,0,0
WY,3,10,0,0,0,0
WV,3,10,0,0,0,0
WI,3,10,1,0,2,0
WA,3,10,110,2,488,37
VT,3,10,0,0,1,0
VA,3,10,5,0,8,0
UT,3,10,1,0,2,0
TX,3,10,1,0,13,0
TN,3,10,4,0,7,0
SD,3,10,0,0,0,0
SC,3,10,0,0,7,0
RI,3,10,1,0,5,0
PA,3,10,2,0,12,0
OR,3,10,1,0,15,0
OK,3,10,1,0,2,0
OH,3,10,0,0,3,0
